Year,State,County ID,State / County Name,All Ages SAIPE Poverty Universe,All Ages in Poverty Count,All Ages in Poverty Count LB 90%,All Ages in Poverty Count UB 90%,90% Confidence Interval (All Ages in Poverty Count),All Ages in Poverty Percent,All Ages in Poverty Percent LB 90%,All Ages in Poverty Percent UB 90%,90% Confidence Interval (All Ages in Poverty Percent),Under Age 18 SAIPE Poverty Universe,Under Age 18 in Poverty Count,Under Age 18 in Poverty Count LB 90%,Under Age 18 in Poverty Count UB 90%,90% Confidence Interval (Under Age 18 in Poverty Count),Under Age 18 in Poverty Percent,Under Age 18 in Poverty Percent LB 90%,Under Age 18 in Poverty Percent UB 90%,90% Confidence Interval (Under Age 18 in Poverty Percent),Ages 5 to 17 in Families SAIPE Poverty Universe,Ages 5 to 17 in Families in Poverty Count,Ages 5 to 17 in Families in Poverty Count LB 90%,Ages 5 to 17 in Families in Poverty Count UB 90%,90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count),Ages 5 to 17 in Families in Poverty Percent,Ages 5 to 17 in Families in Poverty Percent LB 90%,Ages 5 to 17 in Families in Poverty Percent UB 90%,90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent),Under Age 5 SAIPE Poverty Universe,Under Age 5 in Poverty Count,Under Age 5 in Poverty Count LB 90%,Under Age 5 in Poverty Count UB 90%,90% Confidence Interval (Under Age 5 in Poverty Count),Under Age 5 in Poverty Percent,Under Age 5 in Poverty Percent LB 90%,Under Age 5 in Poverty Percent UB 90%,90% Confidence Interval (Under Age 5 in Poverty Percent),Median Household Income in Dollars,Median Household Income in Dollars LB 90%,Median Household Income in Dollars UB 90%,90% Confidence Interval (Median Household Income in Dollars)
2011,39,39077,Huron County (OH),"58,690","8,572","7,368","9,776","7,368 to 9,776",14.6,12.5,16.7,12.5 to 16.7,"15,026","3,335","2,741","3,929","2,741 to 3,929",22.2,18.2,26.2,18.2 to 26.2,"11,127","2,246","1,825","2,667","1,825 to 2,667",20.2,16.4,24,16.4 to 24.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$48,196 ","$44,635 ","$51,757 ","$44,635 to $51,757"
2010,39,39077,Huron County (OH),"58,775","8,202","6,878","9,526","6,878 to 9,526",14,11.7,16.3,11.7 to 16.3,"15,243","3,321","2,698","3,944","2,698 to 3,944",21.8,17.7,25.9,17.7 to 25.9,"11,240","2,176","1,742","2,610","1,742 to 2,610",19.4,15.5,23.3,15.5 to 23.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$44,632 ","$42,049 ","$47,215 ","$42,049 to $47,215"
2009,39,39077,Huron County (OH),"59,062","7,349","6,117","8,581","6,117 to 8,581",12.4,10.4,14.5,10.4 to 14.5,"15,614","2,973","2,440","3,507","2,440 to 3,507",19,15.6,22.5,15.6 to 22.5,"11,403","1,884","1,501","2,267","1,501 to 2,267",16.5,13.2,19.9,13.2 to 19.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$46,542 ","$45,056 ","$48,027 ","$45,056 to $48,027"
2008,39,39077,Huron County (OH),"58,893","8,070","6,841","9,300","6,841 to 9,300",13.7,11.6,15.8,11.6 to 15.8,"15,261","3,150","2,602","3,698","2,602 to 3,698",20.6,17,24.2,17.0 to 24.2,"11,085","1,917","1,537","2,297","1,537 to 2,297",17.3,13.9,20.7,13.9 to 20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$46,586 ","$43,212 ","$49,960 ","$43,212 to $49,960"
2007,39,39077,Huron County (OH),"58,968","6,524","5,293","7,755","5,293 to 7,755",11.1,9,13.2,9.0 to 13.2,"15,433","2,301","1,789","2,814","1,789 to 2,814",14.9,11.6,18.2,11.6 to 18.2,"11,264","1,487","1,138","1,836","1,138 to 1,836",13.2,10.1,16.3,10.1 to 16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$46,846 ","$44,315 ","$49,378 ","$44,315 to $49,378"
2006,39,39077,Huron County (OH),"59,460","6,610","5,355","7,866","5,355 to 7,866",11.1,9,13.2,9.0 to 13.2,"15,636","2,391","1,907","2,876","1,907 to 2,876",15.3,12.2,18.4,12.2 to 18.4,"11,396","1,529","1,195","1,863","1,195 to 1,863",13.4,10.5,16.3,10.5 to 16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$45,155 ","$42,016 ","$48,293 ","$42,016 to $48,293"
2005,39,39077,Huron County (OH),"59,540","6,514","5,415","7,614","5,415 to 7,614",10.9,9.1,12.8,9.1 to 12.8,"15,621","2,552","2,059","3,045","2,059 to 3,045",16.3,13.2,19.5,13.2 to 19.5,"11,422","1,607","1,259","1,955","1,259 to 1,955",14.1,11,17.1,11.0 to 17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$42,861 ","$40,585 ","$45,138 ","$40,585 to $45,138"
2004,39,39077,Huron County (OH),"60,103","5,704","4,372","7,035","4,372 to 7,035",9.5,7.3,11.7,7.3 to 11.7,"15,862","2,127","1,568","2,686","1,568 to 2,686",13.4,9.9,16.9,9.9 to 16.9,"11,489","1,344",936,"1,752","936 to 1,752",11.7,8.1,15.3,8.1 to 15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$42,230 ","$39,589 ","$45,046 ","$39,589 to $45,046"
2003,39,39077,Huron County (OH),"60,035","5,393","4,155","6,632","4,155 to 6,632",9,6.9,11,6.9 to 11.0,"16,094","2,059","1,535","2,583","1,535 to 2,583",12.8,9.5,16.1,9.5 to 16.1,"11,709","1,265",899,"1,631","899 to 1,631",10.8,7.7,13.9,7.7 to 13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$41,234 ","$38,662 ","$43,978 ","$38,662 to $43,978"
2002,39,39077,Huron County (OH),"59,898","5,100","3,942","6,257","3,942 to 6,257",8.5,6.6,10.4,6.6 to 10.4,"16,308","1,767","1,322","2,212","1,322 to 2,212",10.8,8.1,13.6,8.1 to 13.6,"11,883","1,152",815,"1,489","815 to 1,489",9.7,6.9,12.5,6.9 to 12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$40,678 ","$37,917 ","$43,640 ","$37,917 to $43,640"
2019,39,39079,Jackson County (OH),"31,901","5,491","4,412","6,570","4,412 to 6,570",17.2,13.8,20.6,13.8 to 20.6,"7,535","2,014","1,527","2,501","1,527 to 2,501",26.7,20.2,33.2,20.2 to 33.2,"5,426","1,392","1,024","1,760","1,024 to 1,760",25.7,18.9,32.5,18.9 to 32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,671 ","$45,923 ","$55,419 ","$45,923 to $55,419"
2018,39,39079,Jackson County (OH),"31,870","5,350","4,244","6,456","4,244 to 6,456",16.8,13.3,20.3,13.3 to 20.3,"7,443","1,822","1,349","2,295","1,349 to 2,295",24.5,18.2,30.8,18.2 to 30.8,"5,391","1,249",880,"1,618","880 to 1,618",23.2,16.4,30,16.4 to 30.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$44,726 ","$40,841 ","$48,611 ","$40,841 to $48,611"
2017,39,39079,Jackson County (OH),"31,937","5,707","4,565","6,849","4,565 to 6,849",17.9,14.3,21.5,14.3 to 21.5,"7,532","1,986","1,535","2,437","1,535 to 2,437",26.4,20.4,32.4,20.4 to 32.4,"5,384","1,419","1,086","1,752","1,086 to 1,752",26.4,20.2,32.6,20.2 to 32.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$44,671 ","$41,144 ","$48,198 ","$41,144 to $48,198"
2016,39,39079,Jackson County (OH),"31,984","5,780","4,623","6,937","4,623 to 6,937",18.1,14.5,21.7,14.5 to 21.7,"7,500","2,042","1,591","2,493","1,591 to 2,493",27.2,21.2,33.2,21.2 to 33.2,"5,419","1,426","1,092","1,760","1,092 to 1,760",26.3,20.1,32.5,20.1 to 32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$45,168 ","$42,523 ","$47,813 ","$42,523 to $47,813"
2015,39,39079,Jackson County (OH),"32,096","6,541","5,484","7,598","5,484 to 7,598",20.4,17.1,23.7,17.1 to 23.7,"7,655","2,239","1,853","2,625","1,853 to 2,625",29.2,24.2,34.2,24.2 to 34.2,"5,598","1,624","1,335","1,913","1,335 to 1,913",29,23.8,34.2,23.8 to 34.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$42,828 ","$40,089 ","$45,567 ","$40,089 to $45,567"
2014,39,39079,Jackson County (OH),"32,246","6,450","5,227","7,673","5,227 to 7,673",20,16.2,23.8,16.2 to 23.8,"7,692","2,322","1,844","2,800","1,844 to 2,800",30.2,24,36.4,24.0 to 36.4,"5,678","1,558","1,211","1,905","1,211 to 1,905",27.4,21.3,33.5,21.3 to 33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$41,161 ","$37,601 ","$44,721 ","$37,601 to $44,721"
2013,39,39079,Jackson County (OH),"32,273","6,919","5,747","8,091","5,747 to 8,091",21.4,17.8,25,17.8 to 25.0,"7,666","2,307","1,825","2,789","1,825 to 2,789",30.1,23.8,36.4,23.8 to 36.4,"5,681","1,540","1,167","1,913","1,167 to 1,913",27.1,20.5,33.7,20.5 to 33.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$37,823 ","$34,247 ","$41,399 ","$34,247 to $41,399"
2012,39,39079,Jackson County (OH),"32,443","7,034","6,029","8,039","6,029 to 8,039",21.7,18.6,24.8,18.6 to 24.8,"7,769","2,736","2,338","3,134","2,338 to 3,134",35.2,30.1,40.3,30.1 to 40.3,"5,711","1,920","1,628","2,212","1,628 to 2,212",33.6,28.5,38.7,28.5 to 38.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$37,020 ","$33,807 ","$40,233 ","$33,807 to $40,233"
2011,39,39079,Jackson County (OH),"32,687","6,668","5,551","7,785","5,551 to 7,785",20.4,17,23.8,17.0 to 23.8,"7,912","2,380","1,863","2,897","1,863 to 2,897",30.1,23.6,36.6,23.6 to 36.6,"5,735","1,617","1,241","1,993","1,241 to 1,993",28.2,21.6,34.8,21.6 to 34.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$39,144 ","$36,143 ","$42,145 ","$36,143 to $42,145"
2010,39,39079,Jackson County (OH),"32,768","7,377","6,254","8,500","6,254 to 8,500",22.5,19.1,25.9,19.1 to 25.9,"7,952","2,813","2,327","3,299","2,327 to 3,299",35.4,29.3,41.5,29.3 to 41.5,"5,777","1,941","1,610","2,272","1,610 to 2,272",33.6,27.9,39.3,27.9 to 39.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$36,791 ","$33,848 ","$39,734 ","$33,848 to $39,734"
2009,39,39079,Jackson County (OH),"32,896","7,534","6,466","8,601","6,466 to 8,601",22.9,19.7,26.1,19.7 to 26.1,"7,897","2,884","2,459","3,308","2,459 to 3,308",36.5,31.1,41.9,31.1 to 41.9,"5,682","1,832","1,527","2,137","1,527 to 2,137",32.2,26.9,37.6,26.9 to 37.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$34,307 ","$31,809 ","$36,805 ","$31,809 to $36,805"
2008,39,39079,Jackson County (OH),"32,735","6,771","5,575","7,966","5,575 to 7,966",20.7,17,24.3,17.0 to 24.3,"7,773","2,277","1,822","2,732","1,822 to 2,732",29.3,23.4,35.1,23.4 to 35.1,"5,532","1,496","1,177","1,815","1,177 to 1,815",27,21.3,32.8,21.3 to 32.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$36,888 ","$33,314 ","$40,461 ","$33,314 to $40,461"
2007,39,39079,Jackson County (OH),"32,745","5,618","4,534","6,702","4,534 to 6,702",17.2,13.8,20.5,13.8 to 20.5,"7,851","2,000","1,554","2,447","1,554 to 2,447",25.5,19.8,31.2,19.8 to 31.2,"5,600","1,385","1,052","1,718","1,052 to 1,718",24.7,18.8,30.7,18.8 to 30.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$36,833 ","$33,450 ","$40,215 ","$33,450 to $40,215"
2006,39,39079,Jackson County (OH),"32,965","6,110","5,086","7,135","5,086 to 7,135",18.5,15.4,21.6,15.4 to 21.6,"7,891","2,047","1,648","2,447","1,648 to 2,447",25.9,20.9,31,20.9 to 31.0,"5,680","1,403","1,103","1,703","1,103 to 1,703",24.7,19.4,30,19.4 to 30.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$33,825 ","$31,033 ","$36,617 ","$31,033 to $36,617"
2005,39,39079,Jackson County (OH),"32,944","5,436","4,537","6,336","4,537 to 6,336",16.5,13.8,19.2,13.8 to 19.2,"7,781","1,876","1,468","2,284","1,468 to 2,284",24.1,18.9,29.3,18.9 to 29.3,"5,725","1,269",972,"1,566","972 to 1,566",22.2,17,27.4,17.0 to 27.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$34,391 ","$31,534 ","$37,249 ","$31,534 to $37,249"
2004,39,39079,Jackson County (OH),"33,261","5,159","3,988","6,331","3,988 to 6,331",15.5,12,19,12.0 to 19.0,"7,904","1,847","1,369","2,325","1,369 to 2,325",23.4,17.3,29.4,17.3 to 29.4,"5,764","1,187",833,"1,541","833 to 1,541",20.6,14.5,26.7,14.5 to 26.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$33,312 ","$31,297 ","$35,458 ","$31,297 to $35,458"
2003,39,39079,Jackson County (OH),"33,098","4,748","3,677","5,819","3,677 to 5,819",14.3,11.1,17.6,11.1 to 17.6,"8,123","1,783","1,332","2,234","1,332 to 2,234",21.9,16.4,27.5,16.4 to 27.5,"5,897","1,129",805,"1,453","805 to 1,453",19.1,13.7,24.6,13.7 to 24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$32,024 ","$30,073 ","$34,100 ","$30,073 to $34,100"
2002,39,39079,Jackson County (OH),"32,780","4,764","3,681","5,847","3,681 to 5,847",14.5,11.2,17.8,11.2 to 17.8,"8,114","1,590","1,186","1,995","1,186 to 1,995",19.6,14.6,24.6,14.6 to 24.6,"5,969","1,080",762,"1,398","762 to 1,398",18.1,12.8,23.4,12.8 to 23.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$31,337 ","$29,247 ","$33,577 ","$29,247 to $33,577"
2019,39,39081,Jefferson County (OH),"62,869","10,733","8,936","12,530","8,936 to 12,530",17.1,14.2,20,14.2 to 20.0,"12,219","3,099","2,315","3,883","2,315 to 3,883",25.4,19,31.8,19.0 to 31.8,"8,944","2,054","1,451","2,657","1,451 to 2,657",23,16.3,29.7,16.3 to 29.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$47,652 ","$43,993 ","$51,311 ","$43,993 to $51,311"
2018,39,39081,Jefferson County (OH),"63,296","12,052","10,310","13,794","10,310 to 13,794",19,16.2,21.8,16.2 to 21.8,"12,292","3,295","2,618","3,972","2,618 to 3,972",26.8,21.3,32.3,21.3 to 32.3,"9,038","2,199","1,685","2,713","1,685 to 2,713",24.3,18.6,30,18.6 to 30.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$42,821 ","$39,138 ","$46,504 ","$39,138 to $46,504"
2017,39,39081,Jefferson County (OH),"63,914","11,251","9,426","13,076","9,426 to 13,076",17.6,14.7,20.5,14.7 to 20.5,"12,537","3,287","2,593","3,981","2,593 to 3,981",26.2,20.7,31.7,20.7 to 31.7,"9,209","2,236","1,720","2,752","1,720 to 2,752",24.3,18.7,29.9,18.7 to 29.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,520 ","$40,457 ","$46,583 ","$40,457 to $46,583"
2016,39,39081,Jefferson County (OH),"64,369","10,469","8,840","12,098","8,840 to 12,098",16.3,13.8,18.8,13.8 to 18.8,"12,762","3,068","2,400","3,736","2,400 to 3,736",24,18.8,29.2,18.8 to 29.2,"9,388","2,140","1,624","2,656","1,624 to 2,656",22.8,17.3,28.3,17.3 to 28.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,558 ","$40,812 ","$46,304 ","$40,812 to $46,304"
2015,39,39081,Jefferson County (OH),"65,004","11,547","9,860","13,234","9,860 to 13,234",17.8,15.2,20.4,15.2 to 20.4,"12,919","3,681","3,082","4,280","3,082 to 4,280",28.5,23.9,33.1,23.9 to 33.1,"9,575","2,440","1,999","2,881","1,999 to 2,881",25.5,20.9,30.1,20.9 to 30.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,306 ","$40,827 ","$45,785 ","$40,827 to $45,785"
2014,39,39081,Jefferson County (OH),"65,323","13,050","11,305","14,795","11,305 to 14,795",20,17.3,22.7,17.3 to 22.7,"12,951","4,030","3,385","4,675","3,385 to 4,675",31.1,26.1,36.1,26.1 to 36.1,"9,691","2,650","2,177","3,123","2,177 to 3,123",27.3,22.4,32.2,22.4 to 32.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$40,148 ","$37,046 ","$43,250 ","$37,046 to $43,250"
2013,39,39081,Jefferson County (OH),"65,587","12,079","10,631","13,527","10,631 to 13,527",18.4,16.2,20.6,16.2 to 20.6,"13,014","3,469","2,827","4,111","2,827 to 4,111",26.7,21.8,31.6,21.8 to 31.6,"9,745","2,351","1,830","2,872","1,830 to 2,872",24.1,18.7,29.5,18.7 to 29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$38,074 ","$35,487 ","$40,661 ","$35,487 to $40,661"
2012,39,39081,Jefferson County (OH),"66,012","11,077","9,269","12,885","9,269 to 12,885",16.8,14.1,19.5,14.1 to 19.5,"13,192","3,527","2,854","4,200","2,854 to 4,200",26.7,21.6,31.8,21.6 to 31.8,"9,844","2,351","1,857","2,845","1,857 to 2,845",23.9,18.9,28.9,18.9 to 28.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$40,114 ","$38,327 ","$41,901 ","$38,327 to $41,901"
2011,39,39081,Jefferson County (OH),"66,614","11,200","9,511","12,889","9,511 to 12,889",16.8,14.3,19.3,14.3 to 19.3,"13,438","3,717","3,041","4,393","3,041 to 4,393",27.7,22.7,32.7,22.7 to 32.7,"9,969","2,512","2,019","3,005","2,019 to 3,005",25.2,20.3,30.1,20.3 to 30.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$41,103 ","$39,134 ","$43,072 ","$39,134 to $43,072"
2010,39,39081,Jefferson County (OH),"67,396","12,532","10,630","14,434","10,630 to 14,434",18.6,15.8,21.4,15.8 to 21.4,"13,703","3,876","3,189","4,563","3,189 to 4,563",28.3,23.3,33.3,23.3 to 33.3,"10,171","2,653","2,180","3,126","2,180 to 3,126",26.1,21.4,30.8,21.4 to 30.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$36,800 ","$34,433 ","$39,167 ","$34,433 to $39,167"
2009,39,39081,Jefferson County (OH),"65,556","11,524","9,617","13,430","9,617 to 13,430",17.6,14.7,20.5,14.7 to 20.5,"13,434","3,849","3,251","4,448","3,251 to 4,448",28.7,24.2,33.1,24.2 to 33.1,"9,876","2,518","2,103","2,933","2,103 to 2,933",25.5,21.3,29.7,21.3 to 29.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$37,057 ","$34,761 ","$39,353 ","$34,761 to $39,353"
2008,39,39081,Jefferson County (OH),"66,476","11,879","10,313","13,445","10,313 to 13,445",17.9,15.5,20.2,15.5 to 20.2,"13,206","3,377","2,802","3,952","2,802 to 3,952",25.6,21.2,29.9,21.2 to 29.9,"9,687","2,087","1,658","2,516","1,658 to 2,516",21.5,17.1,26,17.1 to 26.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$36,738 ","$34,928 ","$38,549 ","$34,928 to $38,549"
2007,39,39081,Jefferson County (OH),"66,685","11,286","9,841","12,732","9,841 to 12,732",16.9,14.8,19.1,14.8 to 19.1,"13,359","3,524","2,894","4,155","2,894 to 4,155",26.4,21.7,31.1,21.7 to 31.1,"9,876","2,378","1,866","2,890","1,866 to 2,890",24.1,18.9,29.3,18.9 to 29.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$37,930 ","$35,468 ","$40,391 ","$35,468 to $40,391"
2006,39,39081,Jefferson County (OH),"68,065","12,055","10,297","13,813","10,297 to 13,813",17.7,15.1,20.3,15.1 to 20.3,"13,829","3,652","3,019","4,284","3,019 to 4,284",26.4,21.8,31,21.8 to 31.0,"10,329","2,461","1,998","2,924","1,998 to 2,924",23.8,19.3,28.3,19.3 to 28.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$33,330 ","$31,234 ","$35,425 ","$31,234 to $35,425"
2005,39,39081,Jefferson County (OH),"68,234","11,154","9,729","12,580","9,729 to 12,580",16.3,14.3,18.4,14.3 to 18.4,"14,011","3,302","2,696","3,908","2,696 to 3,908",23.6,19.2,27.9,19.2 to 27.9,"10,521","2,110","1,668","2,552","1,668 to 2,552",20.1,15.9,24.3,15.9 to 24.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$34,387 ","$32,612 ","$36,163 ","$32,612 to $36,163"
2004,39,39081,Jefferson County (OH),"69,201","10,162","7,790","12,533","7,790 to 12,533",14.7,11.3,18.1,11.3 to 18.1,"14,234","3,197","2,354","4,041","2,354 to 4,041",22.5,16.5,28.4,16.5 to 28.4,"10,591","1,973","1,371","2,575","1,371 to 2,575",18.6,12.9,24.3,12.9 to 24.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$33,691 ","$31,614 ","$35,904 ","$31,614 to $35,904"
2003,39,39081,Jefferson County (OH),"69,985","9,529","7,345","11,712","7,345 to 11,712",13.6,10.5,16.7,10.5 to 16.7,"14,355","3,070","2,285","3,854","2,285 to 3,854",21.4,15.9,26.8,15.9 to 26.8,"10,747","1,900","1,349","2,451","1,349 to 2,451",17.7,12.6,22.8,12.6 to 22.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$32,493 ","$30,499 ","$34,618 ","$30,499 to $34,618"
2002,39,39081,Jefferson County (OH),"70,498","9,185","7,102","11,269","7,102 to 11,269",13,10.1,16,10.1 to 16.0,"14,684","2,631","1,960","3,302","1,960 to 3,302",17.9,13.3,22.5,13.3 to 22.5,"10,941","1,694","1,194","2,194","1,194 to 2,194",15.5,10.9,20.1,10.9 to 20.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$31,531 ","$29,418 ","$33,794 ","$29,418 to $33,794"
2019,39,39083,Knox County (OH),"58,821","6,664","5,396","7,932","5,396 to 7,932",11.3,9.1,13.5,9.1 to 13.5,"13,811","2,313","1,770","2,856","1,770 to 2,856",16.7,12.8,20.6,12.8 to 20.6,"10,032","1,529","1,129","1,929","1,129 to 1,929",15.2,11.2,19.2,11.2 to 19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$59,957 ","$54,129 ","$65,785 ","$54,129 to $65,785"
2018,39,39083,Knox County (OH),"58,436","8,039","6,770","9,308","6,770 to 9,308",13.8,11.6,16,11.6 to 16.0,"13,764","2,808","2,302","3,314","2,302 to 3,314",20.4,16.7,24.1,16.7 to 24.1,"10,042","1,905","1,516","2,294","1,516 to 2,294",19,15.1,22.9,15.1 to 22.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$56,885 ","$52,002 ","$61,768 ","$52,002 to $61,768"
2017,39,39083,Knox County (OH),"57,788","6,165","4,866","7,464","4,866 to 7,464",10.7,8.5,12.9,8.5 to 12.9,"13,686","2,214","1,684","2,744","1,684 to 2,744",16.2,12.3,20.1,12.3 to 20.1,"10,032","1,508","1,108","1,908","1,108 to 1,908",15,11,19,11.0 to 19.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$52,061 ","$48,410 ","$55,712 ","$48,410 to $55,712"
2016,39,39083,Knox County (OH),"57,376","7,294","6,016","8,572","6,016 to 8,572",12.7,10.5,14.9,10.5 to 14.9,"13,595","2,378","1,839","2,917","1,839 to 2,917",17.5,13.5,21.5,13.5 to 21.5,"10,059","1,656","1,265","2,047","1,265 to 2,047",16.5,12.6,20.4,12.6 to 20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$53,375 ","$51,066 ","$55,684 ","$51,066 to $55,684"
2015,39,39083,Knox County (OH),"57,657","8,510","7,221","9,799","7,221 to 9,799",14.8,12.6,17,12.6 to 17.0,"13,898","2,767","2,232","3,302","2,232 to 3,302",19.9,16.1,23.7,16.1 to 23.7,"10,224","1,911","1,508","2,314","1,508 to 2,314",18.7,14.8,22.6,14.8 to 22.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,914 ","$46,651 ","$55,177 ","$46,651 to $55,177"
2014,39,39083,Knox County (OH),"57,751","8,724","7,362","10,086","7,362 to 10,086",15.1,12.7,17.5,12.7 to 17.5,"13,988","2,989","2,394","3,584","2,394 to 3,584",21.4,17.1,25.7,17.1 to 25.7,"10,210","2,068","1,637","2,499","1,637 to 2,499",20.3,16.1,24.5,16.1 to 24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$46,908 ","$44,912 ","$48,904 ","$44,912 to $48,904"
2013,39,39083,Knox County (OH),"57,396","8,307","6,932","9,682","6,932 to 9,682",14.5,12.1,16.9,12.1 to 16.9,"13,872","3,088","2,509","3,667","2,509 to 3,667",22.3,18.1,26.5,18.1 to 26.5,"10,273","2,127","1,682","2,572","1,682 to 2,572",20.7,16.4,25,16.4 to 25.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$47,053 ","$43,527 ","$50,579 ","$43,527 to $50,579"
2012,39,39083,Knox County (OH),"57,351","9,144","7,778","10,510","7,778 to 10,510",15.9,13.5,18.3,13.5 to 18.3,"13,951","3,383","2,788","3,978","2,788 to 3,978",24.2,19.9,28.5,19.9 to 28.5,"10,299","2,335","1,913","2,757","1,913 to 2,757",22.7,18.6,26.8,18.6 to 26.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$44,133 ","$41,583 ","$46,683 ","$41,583 to $46,683"
2011,39,39083,Knox County (OH),"57,949","8,382","6,808","9,956","6,808 to 9,956",14.5,11.8,17.2,11.8 to 17.2,"14,314","3,297","2,641","3,953","2,641 to 3,953",23,18.4,27.6,18.4 to 27.6,"10,534","2,282","1,806","2,758","1,806 to 2,758",21.7,17.2,26.2,17.2 to 26.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,929 ","$49,125 ","$52,733 ","$49,125 to $52,733"
2010,39,39083,Knox County (OH),"57,660","9,490","8,029","10,951","8,029 to 10,951",16.5,14,19,14.0 to 19.0,"14,425","3,543","2,897","4,189","2,897 to 4,189",24.6,20.1,29.1,20.1 to 29.1,"10,605","2,252","1,804","2,700","1,804 to 2,700",21.2,17,25.4,17.0 to 25.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$46,937 ","$43,630 ","$50,244 ","$43,630 to $50,244"
2009,39,39083,Knox County (OH),"56,033","7,383","5,905","8,862","5,905 to 8,862",13.2,10.5,15.8,10.5 to 15.8,"13,995","2,795","2,209","3,381","2,209 to 3,381",20,15.8,24.2,15.8 to 24.2,"10,196","1,896","1,499","2,293","1,499 to 2,293",18.6,14.7,22.5,14.7 to 22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$45,374 ","$42,587 ","$48,162 ","$42,587 to $48,162"
2008,39,39083,Knox County (OH),"55,668","7,336","6,125","8,546","6,125 to 8,546",13.2,11,15.4,11.0 to 15.4,"13,503","2,563","2,058","3,069","2,058 to 3,069",19,15.2,22.7,15.2 to 22.7,"9,747","1,607","1,255","1,959","1,255 to 1,959",16.5,12.9,20.1,12.9 to 20.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$45,745 ","$42,848 ","$48,641 ","$42,848 to $48,641"
2007,39,39083,Knox County (OH),"55,241","6,242","5,049","7,434","5,049 to 7,434",11.3,9.1,13.5,9.1 to 13.5,"13,485","2,224","1,710","2,738","1,710 to 2,738",16.5,12.7,20.3,12.7 to 20.3,"9,761","1,429","1,083","1,775","1,083 to 1,775",14.6,11.1,18.2,11.1 to 18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$44,381 ","$41,403 ","$47,359 ","$41,403 to $47,359"
